Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Output
5273.5487,6519.4404,7728.5513,8903.9933,8475.5076,7474.8196,6315.8621
6519.4404,7728.5513,8903.9933,8475.5076,7474.8196,6315.8621,4259.0127
7728.5513,8903.9933,8475.5076,7474.8196,6315.8621,4259.0127,3565.8841
8903.9933,8475.5076,7474.8196,6315.8621,4259.0127,3565.8841,2730.3226
8475.5076,7474.8196,6315.8621,4259.0127,3565.8841,2730.3226,3499.0232
7474.8196,6315.8621,4259.0127,3565.8841,2730.3226,3499.0232,4405.8703
6315.8621,4259.0127,3565.8841,2730.3226,3499.0232,4405.8703,6041.2069
4259.0127,3565.8841,2730.3226,3499.0232,4405.8703,6041.2069,7797.5785
3565.8841,2730.3226,3499.0232,4405.8703,6041.2069,7797.5785,8181.6747
2730.3226,3499.0232,4405.8703,6041.2069,7797.5785,8181.6747,10017.1355
3499.0232,4405.8703,6041.2069,7797.5785,8181.6747,10017.1355,8030.0838
4405.8703,6041.2069,7797.5785,8181.6747,10017.1355,8030.0838,6778.3617
6041.2069,7797.5785,8181.6747,10017.1355,8030.0838,6778.3617,6402.0393
7797.5785,8181.6747,10017.1355,8030.0838,6778.3617,6402.0393,4644.3421
8181.6747,10017.1355,8030.0838,6778.3617,6402.0393,4644.3421,3377.1064
10017.1355,8030.0838,6778.3617,6402.0393,4644.3421,3377.1064,2882.2375
8030.0838,6778.3617,6402.0393,4644.3421,3377.1064,2882.2375,2860.5236
6778.3617,6402.0393,4644.3421,3377.1064,2882.2375,2860.5236,3405.9777
6402.0393,4644.3421,3377.1064,2882.2375,2860.5236,3405.9777,5277.2179
4644.3421,3377.1064,2882.2375,2860.5236,3405.9777,5277.2179,6281.9558
3377.1064,2882.2375,2860.5236,3405.9777,5277.2179,6281.9558,8085.6361
2882.2375,2860.5236,3405.9777,5277.2179,6281.9558,8085.6361,7805.9346
2860.5236,3405.9777,5277.2179,6281.9558,8085.6361,7805.9346,6946.0119
3405.9777,5277.2179,6281.9558,8085.6361,7805.9346,6946.0119,5984.7022
5277.2179,6281.9558,8085.6361,7805.9346,6946.0119,5984.7022,4741.7426
6281.9558,8085.6361,7805.9346,6946.0119,5984.7022,4741.7426,2650.0730
8085.6361,7805.9346,6946.0119,5984.7022,4741.7426,2650.0730,1327.6909
7805.9346,6946.0119,5984.7022,4741.7426,2650.0730,1327.6909,1373.3329
6946.0119,5984.7022,4741.7426,2650.0730,1327.6909,1373.3329,1701.4232
5984.7022,4741.7426,2650.0730,1327.6909,1373.3329,1701.4232,2361.0724
4741.7426,2650.0730,1327.6909,1373.3329,1701.4232,2361.0724,3829.4646
2650.0730,1327.6909,1373.3329,1701.4232,2361.0724,3829.4646,5645.0832
1327.6909,1373.3329,1701.4232,2361.0724,3829.4646,5645.0832,5881.3252
1373.3329,1701.4232,2361.0724,3829.4646,5645.0832,5881.3252,6296.2681
1701.4232,2361.0724,3829.4646,5645.0832,5881.3252,6296.2681,6246.1452
2361.0724,3829.4646,5645.0832,5881.3252,6296.2681,6246.1452,5422.3346
3829.4646,5645.0832,5881.3252,6296.2681,6246.1452,5422.3346,4220.4375
5645.0832,5881.3252,6296.2681,6246.1452,5422.3346,4220.4375,3352.2221
5881.3252,6296.2681,6246.1452,5422.3346,4220.4375,3352.2221,2007.7697
6296.2681,6246.1452,5422.3346,4220.4375,3352.2221,2007.7697,1171.5200
6246.1452,5422.3346,4220.4375,3352.2221,2007.7697,1171.5200,1729.2930
5422.3346,4220.4375,3352.2221,2007.7697,1171.5200,1729.2930,2430.6706
4220.4375,3352.2221,2007.7697,1171.5200,1729.2930,2430.6706,4526.0203
3352.2221,2007.7697,1171.5200,1729.2930,2430.6706,4526.0203,6001.0658
2007.7697,1171.5200,1729.2930,2430.6706,4526.0203,6001.0658,7520.1198
1171.5200,1729.2930,2430.6706,4526.0203,6001.0658,7520.1198,7465.8478
