Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Output
49.0000,61.0000,99.0000,108.0000,132.0000,120.0000,119.0000,98.0000,107.0000
61.0000,99.0000,108.0000,132.0000,120.0000,119.0000,98.0000,107.0000,86.0000
99.0000,108.0000,132.0000,120.0000,119.0000,98.0000,107.0000,86.0000,97.0000
108.0000,132.0000,120.0000,119.0000,98.0000,107.0000,86.0000,97.0000,130.0000
132.0000,120.0000,119.0000,98.0000,107.0000,86.0000,97.0000,130.0000,143.0000
120.0000,119.0000,98.0000,107.0000,86.0000,97.0000,130.0000,143.0000,154.0000
119.0000,98.0000,107.0000,86.0000,97.0000,130.0000,143.0000,154.0000,153.0000
98.0000,107.0000,86.0000,97.0000,130.0000,143.0000,154.0000,153.0000,171.0000
107.0000,86.0000,97.0000,130.0000,143.0000,154.0000,153.0000,171.0000,173.0000
86.0000,97.0000,130.0000,143.0000,154.0000,153.0000,171.0000,173.0000,155.0000
97.0000,130.0000,143.0000,154.0000,153.0000,171.0000,173.0000,155.0000,167.0000
130.0000,143.0000,154.0000,153.0000,171.0000,173.0000,155.0000,167.0000,140.0000
143.0000,154.0000,153.0000,171.0000,173.0000,155.0000,167.0000,140.0000,106.0000
154.0000,153.0000,171.0000,173.0000,155.0000,167.0000,140.0000,106.0000,87.0000
153.0000,171.0000,173.0000,155.0000,167.0000,140.0000,106.0000,87.0000,70.0000
171.0000,173.0000,155.0000,167.0000,140.0000,106.0000,87.0000,70.0000,35.0000
173.0000,155.0000,167.0000,140.0000,106.0000,87.0000,70.0000,35.0000,46.0000
155.0000,167.0000,140.0000,106.0000,87.0000,70.0000,35.0000,46.0000,41.0000
167.0000,140.0000,106.0000,87.0000,70.0000,35.0000,46.0000,41.0000,39.0000
140.0000,106.0000,87.0000,70.0000,35.0000,46.0000,41.0000,39.0000,49.0000
106.0000,87.0000,70.0000,35.0000,46.0000,41.0000,39.0000,49.0000,68.0000
87.0000,70.0000,35.0000,46.0000,41.0000,39.0000,49.0000,68.0000,50.0000
70.0000,35.0000,46.0000,41.0000,39.0000,49.0000,68.0000,50.0000,25.0000
35.0000,46.0000,41.0000,39.0000,49.0000,68.0000,50.0000,25.0000,18.0000
46.0000,41.0000,39.0000,49.0000,68.0000,50.0000,25.0000,18.0000,5.0000
41.0000,39.0000,49.0000,68.0000,50.0000,25.0000,18.0000,5.0000,5.0000
39.0000,49.0000,68.0000,50.0000,25.0000,18.0000,5.0000,5.0000,5.0000
49.0000,68.0000,50.0000,25.0000,18.0000,5.0000,5.0000,5.0000,5.0000
68.0000,50.0000,25.0000,18.0000,5.0000,5.0000,5.0000,5.0000,5.0000
50.0000,25.0000,18.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
25.0000,18.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
18.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,8.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,8.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,8.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,8.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,8.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,8.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,8.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,8.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,28.0000
8.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,28.0000,55.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,28.0000,55.0000,70.0000
5.0000,5.0000,5.0000,5.0000,5.0000,28.0000,55.0000,70.0000,98.0000
5.0000,5.0000,5.0000,5.0000,28.0000,55.0000,70.0000,98.0000,136.0000
5.0000,5.0000,5.0000,28.0000,55.0000,70.0000,98.0000,136.0000,141.0000
5.0000,5.0000,28.0000,55.0000,70.0000,98.0000,136.0000,141.0000,131.0000
5.0000,28.0000,55.0000,70.0000,98.0000,136.0000,141.0000,131.0000,123.0000
28.0000,55.0000,70.0000,98.0000,136.0000,141.0000,131.0000,123.0000,118.0000
55.0000,70.0000,98.0000,136.0000,141.0000,131.0000,123.0000,118.0000,118.0000
70.0000,98.0000,136.0000,141.0000,131.0000,123.0000,118.0000,118.0000,100.0000
98.0000,136.0000,141.0000,131.0000,123.0000,118.0000,118.0000,100.0000,111.0000
136.0000,141.0000,131.0000,123.0000,118.0000,118.0000,100.0000,111.0000,105.0000
141.0000,131.0000,123.0000,118.0000,118.0000,100.0000,111.0000,105.0000,139.0000
131.0000,123.0000,118.0000,118.0000,100.0000,111.0000,105.0000,139.0000,156.0000
123.0000,118.0000,118.0000,100.0000,111.0000,105.0000,139.0000,156.0000,158.0000
118.0000,118.0000,100.0000,111.0000,105.0000,139.0000,156.0000,158.0000,187.0000
118.0000,100.0000,111.0000,105.0000,139.0000,156.0000,158.0000,187.0000,161.0000
100.0000,111.0000,105.0000,139.0000,156.0000,158.0000,187.0000,161.0000,151.0000
111.0000,105.0000,139.0000,156.0000,158.0000,187.0000,161.0000,151.0000,154.0000
105.0000,139.0000,156.0000,158.0000,187.0000,161.0000,151.0000,154.0000,142.0000
139.0000,156.0000,158.0000,187.0000,161.0000,151.0000,154.0000,142.0000,125.0000
156.0000,158.0000,187.0000,161.0000,151.0000,154.0000,142.0000,125.0000,82.0000
