Input_1,Input_2,Input_3,Input_4,Output
53.0000,77.0000,60.0000,18.0000,59.0000
77.0000,60.0000,18.0000,59.0000,99.0000
60.0000,18.0000,59.0000,99.0000,54.0000
18.0000,59.0000,99.0000,54.0000,28.0000
59.0000,99.0000,54.0000,28.0000,62.0000
99.0000,54.0000,28.0000,62.0000,90.0000
54.0000,28.0000,62.0000,90.0000,56.0000
28.0000,62.0000,90.0000,56.0000,34.0000
62.0000,90.0000,56.0000,34.0000,59.0000
90.0000,56.0000,34.0000,59.0000,97.0000
56.0000,34.0000,59.0000,97.0000,60.0000
34.0000,59.0000,97.0000,60.0000,42.0000
59.0000,97.0000,60.0000,42.0000,60.0000
97.0000,60.0000,42.0000,60.0000,91.0000
60.0000,42.0000,60.0000,91.0000,66.0000
42.0000,60.0000,91.0000,66.0000,25.0000
60.0000,91.0000,66.0000,25.0000,61.0000
91.0000,66.0000,25.0000,61.0000,95.0000
66.0000,25.0000,61.0000,95.0000,48.0000
25.0000,61.0000,95.0000,48.0000,26.0000
61.0000,95.0000,48.0000,26.0000,54.0000
95.0000,48.0000,26.0000,54.0000,85.0000
48.0000,26.0000,54.0000,85.0000,43.0000
26.0000,54.0000,85.0000,43.0000,11.0000
54.0000,85.0000,43.0000,11.0000,49.0000
85.0000,43.0000,11.0000,49.0000,76.0000
43.0000,11.0000,49.0000,76.0000,44.0000
11.0000,49.0000,76.0000,44.0000,13.0000
49.0000,76.0000,44.0000,13.0000,36.0000
76.0000,44.0000,13.0000,36.0000,69.0000
44.0000,13.0000,36.0000,69.0000,39.0000
13.0000,36.0000,69.0000,39.0000,10.0000
36.0000,69.0000,39.0000,10.0000,45.0000
69.0000,39.0000,10.0000,45.0000,67.0000
39.0000,10.0000,45.0000,67.0000,29.0000
10.0000,45.0000,67.0000,29.0000,10.0000
45.0000,67.0000,29.0000,10.0000,30.0000
67.0000,29.0000,10.0000,30.0000,69.0000
29.0000,10.0000,30.0000,69.0000,41.0000
10.0000,30.0000,69.0000,41.0000,10.0000
30.0000,69.0000,41.0000,10.0000,42.0000
69.0000,41.0000,10.0000,42.0000,70.0000
41.0000,10.0000,42.0000,70.0000,44.0000
10.0000,42.0000,70.0000,44.0000,20.0000
42.0000,70.0000,44.0000,20.0000,41.0000
70.0000,44.0000,20.0000,41.0000,70.0000
44.0000,20.0000,41.0000,70.0000,41.0000
20.0000,41.0000,70.0000,41.0000,14.0000
