Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Input_15,Input_16,Input_17,Input_18,Input_19,Input_20,Input_21,Input_22,Input_23,Input_24,Output
497.7534,677.8288,757.2689,672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196
677.8288,757.2689,672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380
757.2689,672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550
672.6376,489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433
489.2158,390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499
390.0906,438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332
438.1327,550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481
550.5542,712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475
712.6650,793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809
793.0337,669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183
669.6761,434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213
434.1244,316.5456,323.9768,511.5776,608.0471,605.8247,471.0734,281.0943,212.4911,241.9041,400.8442,593.4348,647.4727,620.5196,456.7380,354.8550,443.9433,588.1499,735.7332,825.4481,694.1475,479.0809,371.9183,376.1213,498.2259
