Input_1,Input_2,Input_3,Input_4,Output
7.8769,11.1771,13.0757,14.1157,16.7289
11.1771,13.0757,14.1157,16.7289,19.1270
13.0757,14.1157,16.7289,19.1270,22.7761
14.1157,16.7289,19.1270,22.7761,21.4895
16.7289,19.1270,22.7761,21.4895,22.7311
19.1270,22.7761,21.4895,22.7311,23.1702
22.7761,21.4895,22.7311,23.1702,21.1471
21.4895,22.7311,23.1702,21.1471,24.5244
22.7311,23.1702,21.1471,24.5244,24.9810
23.1702,21.1471,24.5244,24.9810,28.6949
21.1471,24.5244,24.9810,28.6949,24.6021
24.5244,24.9810,28.6949,24.6021,25.0164
24.9810,28.6949,24.6021,25.0164,23.9732
28.6949,24.6021,25.0164,23.9732,21.5288
24.6021,25.0164,23.9732,21.5288,24.0590
25.0164,23.9732,21.5288,24.0590,22.3556
23.9732,21.5288,24.0590,22.3556,21.1334
21.5288,24.0590,22.3556,21.1334,17.1569
24.0590,22.3556,21.1334,17.1569,19.0750
22.3556,21.1334,17.1569,19.0750,13.2163
21.1334,17.1569,19.0750,13.2163,14.4700
17.1569,19.0750,13.2163,14.4700,15.0937
19.0750,13.2163,14.4700,15.0937,8.5142
13.2163,14.4700,15.0937,8.5142,7.3425
14.4700,15.0937,8.5142,7.3425,6.5597
15.0937,8.5142,7.3425,6.5597,3.9257
8.5142,7.3425,6.5597,3.9257,0.7032
7.3425,6.5597,3.9257,0.7032,1.5819
6.5597,3.9257,0.7032,1.5819,-1.5403
3.9257,0.7032,1.5819,-1.5403,-0.5173
0.7032,1.5819,-1.5403,-0.5173,-3.7239
1.5819,-1.5403,-0.5173,-3.7239,-0.9569
-1.5403,-0.5173,-3.7239,-0.9569,-5.2001
-0.5173,-3.7239,-0.9569,-5.2001,-5.0472
-3.7239,-0.9569,-5.2001,-5.0472,-3.6704
-0.9569,-5.2001,-5.0472,-3.6704,-6.8463
-5.2001,-5.0472,-3.6704,-6.8463,-4.5494
-5.0472,-3.6704,-6.8463,-4.5494,-2.6034
-3.6704,-6.8463,-4.5494,-2.6034,-6.4365
-6.8463,-4.5494,-2.6034,-6.4365,-3.0049
-4.5494,-2.6034,-6.4365,-3.0049,-1.9549
-2.6034,-6.4365,-3.0049,-1.9549,-0.0549
-6.4365,-3.0049,-1.9549,-0.0549,-1.8023
-3.0049,-1.9549,-0.0549,-1.8023,-0.5017
-1.9549,-0.0549,-1.8023,-0.5017,3.8121
-0.0549,-1.8023,-0.5017,3.8121,5.1264
-1.8023,-0.5017,3.8121,5.1264,6.7860
-0.5017,3.8121,5.1264,6.7860,8.7116
3.8121,5.1264,6.7860,8.7116,8.9800
5.1264,6.7860,8.7116,8.9800,12.1564
6.7860,8.7116,8.9800,12.1564,14.0293
8.7116,8.9800,12.1564,14.0293,14.2475
8.9800,12.1564,14.0293,14.2475,19.7695
12.1564,14.0293,14.2475,19.7695,19.2317
14.0293,14.2475,19.7695,19.2317,18.1599
14.2475,19.7695,19.2317,18.1599,22.2125
19.7695,19.2317,18.1599,22.2125,20.8827
19.2317,18.1599,22.2125,20.8827,24.4625
18.1599,22.2125,20.8827,24.4625,25.7631
22.2125,20.8827,24.4625,25.7631,23.3331
20.8827,24.4625,25.7631,23.3331,26.3357
24.4625,25.7631,23.3331,26.3357,25.6192
25.7631,23.3331,26.3357,25.6192,26.1237
23.3331,26.3357,25.6192,26.1237,27.4093
26.3357,25.6192,26.1237,27.4093,23.6572
25.6192,26.1237,27.4093,23.6572,22.1512
26.1237,27.4093,23.6572,22.1512,21.0105
27.4093,23.6572,22.1512,21.0105,20.0039
23.6572,22.1512,21.0105,20.0039,19.8312
22.1512,21.0105,20.0039,19.8312,19.0327
21.0105,20.0039,19.8312,19.0327,17.3859
20.0039,19.8312,19.0327,17.3859,16.5598
19.8312,19.0327,17.3859,16.5598,13.6092
19.0327,17.3859,16.5598,13.6092,13.9884
17.3859,16.5598,13.6092,13.9884,9.6030
16.5598,13.6092,13.9884,9.6030,12.2722
13.6092,13.9884,9.6030,12.2722,7.3488
13.9884,9.6030,12.2722,7.3488,3.3952
9.6030,12.2722,7.3488,3.3952,1.4228
12.2722,7.3488,3.3952,1.4228,2.2027
7.3488,3.3952,1.4228,2.2027,-0.2820
3.3952,1.4228,2.2027,-0.2820,-0.1567
1.4228,2.2027,-0.2820,-0.1567,-1.6349
2.2027,-0.2820,-0.1567,-1.6349,-3.3911
-0.2820,-0.1567,-1.6349,-3.3911,-5.2954
-0.1567,-1.6349,-3.3911,-5.2954,-6.8364
-1.6349,-3.3911,-5.2954,-6.8364,-5.5604
-3.3911,-5.2954,-6.8364,-5.5604,-3.7154
-5.2954,-6.8364,-5.5604,-3.7154,-4.5695
-6.8364,-5.5604,-3.7154,-4.5695,-6.4327
-5.5604,-3.7154,-4.5695,-6.4327,-3.7655
-3.7154,-4.5695,-6.4327,-3.7655,-2.7039
-4.5695,-6.4327,-3.7655,-2.7039,-3.6705
-6.4327,-3.7655,-2.7039,-3.6705,-0.9971
-3.7655,-2.7039,-3.6705,-0.9971,0.1405
-2.7039,-3.6705,-0.9971,0.1405,-0.2354
-3.6705,-0.9971,0.1405,-0.2354,3.5658
-0.9971,0.1405,-0.2354,3.5658,5.5221
0.1405,-0.2354,3.5658,5.5221,8.0348
-0.2354,3.5658,5.5221,8.0348,9.7727
