Input_1,Input_2,Input_3,Input_4,Input_5,Output
1.0000,1.0035,1.0038,1.0080,1.0166,1.0165
1.0035,1.0038,1.0080,1.0166,1.0165,1.0163
1.0038,1.0080,1.0166,1.0165,1.0163,1.0252
1.0080,1.0166,1.0165,1.0163,1.0252,1.0300
1.0166,1.0165,1.0163,1.0252,1.0300,1.0287
1.0165,1.0163,1.0252,1.0300,1.0287,1.0324
1.0163,1.0252,1.0300,1.0287,1.0324,1.0311
1.0252,1.0300,1.0287,1.0324,1.0311,1.0298
1.0300,1.0287,1.0324,1.0311,1.0298,1.0320
1.0287,1.0324,1.0311,1.0298,1.0320,1.0234
1.0324,1.0311,1.0298,1.0320,1.0234,1.0158
1.0311,1.0298,1.0320,1.0234,1.0158,1.0140
1.0298,1.0320,1.0234,1.0158,1.0140,1.0099
1.0320,1.0234,1.0158,1.0140,1.0099,1.0125
1.0234,1.0158,1.0140,1.0099,1.0125,1.0089
1.0158,1.0140,1.0099,1.0125,1.0089,1.0029
1.0140,1.0099,1.0125,1.0089,1.0029,1.0112
1.0099,1.0125,1.0089,1.0029,1.0112,1.0111
1.0125,1.0089,1.0029,1.0112,1.0111,1.0124
1.0089,1.0029,1.0112,1.0111,1.0124,1.0063
1.0029,1.0112,1.0111,1.0124,1.0063,1.0046
1.0112,1.0111,1.0124,1.0063,1.0046,1.0061
1.0111,1.0124,1.0063,1.0046,1.0061,1.0014
1.0124,1.0063,1.0046,1.0061,1.0014,1.0042
1.0063,1.0046,1.0061,1.0014,1.0042,1.0022
1.0046,1.0061,1.0014,1.0042,1.0022,1.0018
1.0061,1.0014,1.0042,1.0022,1.0018,0.9998
1.0014,1.0042,1.0022,1.0018,0.9998,1.0100
1.0042,1.0022,1.0018,0.9998,1.0100,1.0110
1.0022,1.0018,0.9998,1.0100,1.0110,1.0067
1.0018,0.9998,1.0100,1.0110,1.0067,1.0118
0.9998,1.0100,1.0110,1.0067,1.0118,1.0067
1.0100,1.0110,1.0067,1.0118,1.0067,1.0087
1.0110,1.0067,1.0118,1.0067,1.0087,0.9999
1.0067,1.0118,1.0067,1.0087,0.9999,0.9943
1.0118,1.0067,1.0087,0.9999,0.9943,0.9963
1.0067,1.0087,0.9999,0.9943,0.9963,1.0010
1.0087,0.9999,0.9943,0.9963,1.0010,1.0028
0.9999,0.9943,0.9963,1.0010,1.0028,1.0032
0.9943,0.9963,1.0010,1.0028,1.0032,1.0027
0.9963,1.0010,1.0028,1.0032,1.0027,0.9963
1.0010,1.0028,1.0032,1.0027,0.9963,0.9937
1.0028,1.0032,1.0027,0.9963,0.9937,0.9924
1.0032,1.0027,0.9963,0.9937,0.9924,0.9987
1.0027,0.9963,0.9937,0.9924,0.9987,1.0014
0.9963,0.9937,0.9924,0.9987,1.0014,0.9936
0.9937,0.9924,0.9987,1.0014,0.9936,0.9963
0.9924,0.9987,1.0014,0.9936,0.9963,0.9953
0.9987,1.0014,0.9936,0.9963,0.9953,0.9929
1.0014,0.9936,0.9963,0.9953,0.9929,0.9970
0.9936,0.9963,0.9953,0.9929,0.9970,1.0032
0.9963,0.9953,0.9929,0.9970,1.0032,1.0088
0.9953,0.9929,0.9970,1.0032,1.0088,1.0056
0.9929,0.9970,1.0032,1.0088,1.0056,1.0051
0.9970,1.0032,1.0088,1.0056,1.0051,1.0077
1.0032,1.0088,1.0056,1.0051,1.0077,1.0136
1.0088,1.0056,1.0051,1.0077,1.0136,1.0122
1.0056,1.0051,1.0077,1.0136,1.0122,1.0123
1.0051,1.0077,1.0136,1.0122,1.0123,1.0077
1.0077,1.0136,1.0122,1.0123,1.0077,1.0028
1.0136,1.0122,1.0123,1.0077,1.0028,1.0078
1.0122,1.0123,1.0077,1.0028,1.0078,1.0156
1.0123,1.0077,1.0028,1.0078,1.0156,1.0163
1.0077,1.0028,1.0078,1.0156,1.0163,1.0223
1.0028,1.0078,1.0156,1.0163,1.0223,1.0251
1.0078,1.0156,1.0163,1.0223,1.0251,1.0229
1.0156,1.0163,1.0223,1.0251,1.0229,1.0257
1.0163,1.0223,1.0251,1.0229,1.0257,1.0343
